,revenue,counts,name
4,17.381079061980937,161,Paramount Pictures
60,17.000036930747143,44,United Artists
8411,16.413752160032484,84,Metro-Goldwyn-Mayer (MGM)
2,18.857807128309688,62,Walt Disney Pictures
2266,15.82955131214877,4,Bold Films
3172,18.064468560641856,18,Blumhouse Productions
32157,16.291829638699493,4,Right of Way Films
768,18.204739504745852,5,Ghost House Pictures
22637,18.263396033176583,1,North Box Productions
2504,17.35145416487623,1,Jim Henson Productions
6254,17.35145416487623,1,"Jim Henson Company, The"
97,17.37482457838468,21,Castle Rock Entertainment
306,17.662572621798066,138,Twentieth Century Fox Film Corporation
5263,16.935318604087552,1,Amercent Films
5264,16.36536570315134,2,American Entertainment Partners L.P.
10201,17.31646346120715,7,Interscope Communications
27,18.480664455113253,27,DreamWorks SKG
2721,19.691274090816837,1,Jinks/Cohen Company
215,16.890685472749276,8,Double Feature Films
216,17.58664945475536,6,Jersey Films
1693,18.33539364210796,2,Nina Saxon Film Design
44,17.421335357127607,5,Cruise/Wagner Productions
56,18.579960510083907,23,Amblin Entertainment
766,19.69708469491702,1,Blue Tulip Productions
26265,19.69708469491702,1,Ronald Shusett/Gary Goldman
76068,19.69708469491702,1,Digital Image Associates
51316,5.288267030694535,1,Hypnopolis
1600,17.76343751952742,3,Craven-Maddalena Films
6363,16.840137128242116,6,BenderSpink
288,15.45742696753967,30,BBC Films
13151,14.025977296950373,1,Headline Pictures
18188,14.025977296950373,1,Magnolia Mae Films
26783,14.025977296950373,1,Taeoo Entertainment
2452,16.689118611850255,11,UK Film Council
6901,13.18905016463245,3,Prescience
7309,12.800982127920125,2,Aegis Film Fund
29305,14.374816012036838,1,Kaleidoscope Films
972,17.946475834915475,3,Current Entertainment
3823,17.686016241423342,11,TF1 Films Production
5358,15.685160602050402,46,Canal+
6586,14.839422122241702,3,TPS Star
6896,17.100827639075387,12,EuropaCorp
95342,18.2601320957045,1,Sea Side Films Florida Inc.
12,17.90916624265092,75,New Line Cinema
14024,18.729336985118785,1,Irwin Allen Productions
19902,16.950211563475225,2,Prelude Pictures
30253,18.729336985118785,1,Saltire Entertainment
7513,17.418016622440454,1,Jason Productions
15156,10.75377369651795,2,The Collective
15157,10.75377369651795,2,Bloody Disgusting
15158,10.75377369651795,2,8383 Productions
8053,9.741615472609583,1, Braeburn Entertainment
8054,9.741615472609583,1, Check Entertainment
8055,9.741615472609583,1,G.C. Pix 
294,14.783209805309063,2,New Zealand Film Commission
1466,15.414436816032637,1,Live Stock Films
33,17.69511779837755,188,Universal Pictures
552,16.63077061231688,6,Dark Horse Entertainment
1644,12.594120238303836,3,Largo Entertainment
4248,16.882067662258937,3,JVC Entertainment Networks
16280,16.442721567617276,1,Jean Doumanian Productions
21716,16.442721567617276,1,Sweetland Films
65514,16.442721567617276,1,Magnolia Films
65515,16.442721567617276,1,Jasmine Productions Inc.
5353,15.875641851109611,1,Fastnet Films
23108,14.095291177188088,2,Caramel Film
35846,15.875641851109611,1,No Trace Camping
484,16.446084198166425,4,De Laurentiis Entertainment Group (DEG)
2301,15.581891875507052,1,Marvel Productions
2598,16.900263381670783,2,Hasbro
3313,15.581891875507052,1,Sunbow Productions
9,15.984250889393502,12,Gaumont
6301,17.747526527292003,6,CinéCinéma
7038,19.87107807277645,1,Quad Productions
7766,18.350429037187403,2,Chaocorp
8018,19.87107807277645,1,Ten Films
22123,18.334671086079627,3,TF1
223,17.399029496420383,1,Les Films du Losange
224,17.399029496420383,1,Wega Film
225,14.020090649601844,5,BIM Distribuzione
310,16.09415101070958,3,Centre National de la Cinématographie
315,17.046997469738216,2,Filmstiftung Nordrhein-Westfalen
591,16.58820041007241,5,France 3 Cinéma
850,16.8362208253957,3,Eurimages
1704,16.2947871707804,4,Bavaria Film
5870,16.173375127711036,7,Studio Canal
6916,13.25406166330179,8,Arte France Cinéma
7025,14.441710289819904,7,Westdeutscher Rundfunk (WDR)
10273,14.252436773882074,2,Filmfonds Wien
11388,17.399029496420383,1,ORF Film/Fernseh-Abkommen
11389,17.399029496420383,1,Österreichisches Filminstitut
491,17.318067347756102,24,Summit Entertainment
2995,19.22141354862211,2,Atmosphere Entertainment MM
7154,19.969201199625374,2,One Race Films
12006,18.62439092274293,3,Goldmann Pictures
24097,19.235799829072104,2,NeoReel
33832,14.266579415391876,2,Aperture Entertainment
72441,18.271975406921435,2,TIK Films
3595,8.877800393882575,1,Magnet Releasing
